text,category,actor,vector,team_or_player,event_type,location,severity,clean_text
Salmon,Protein,,,,,Norway,,salmon is a high protein fatty fish rich in omega 3 fatty acids dha and epa which are essential for brain health inflammation reduction and cardiovascular function this fish provides b vitamins selenium antioxidants and high quality protein making it one of the most nutritious foods for balanced diets supporting long term wellness muscle repair and healthy metabolism
Spinach,Vegetable,,,,,Local Farm,,spinach is a powerful leafy green loaded with iron folate vitamin k vitamin a and antioxidants including lutein and beta carotene which support healthy vision immune strength strong bones and long term disease protection its low calorie high nutrient profile makes it ideal for balanced diets and continuous nutritional benefit
Brown Rice,Grain,,,,,India,,brown rice is a whole grain rich in complex carbohydrates fiber b vitamins manganese and antioxidants supporting digestive regularity steady energy release and long term heart health its nutrient composition helps maintain balanced diets and stable blood sugar levels while contributing essential minerals required for metabolic function
Chicken Breast,Protein,,,,,Brazil,,chicken breast is one of the leanest high protein foods supporting muscle growth tissue repair and balanced nutrition due to its low fat profile amino acid density and richness in b vitamins and minerals making it essential for athletes healthy diets and long term nutritional planning for strength and wellness
Broccoli,Vegetable,,,,,Mexico,,broccoli contains vitamin c vitamin k fiber folate and powerful antioxidants like sulforaphane which is studied for its cancer fighting properties this cruciferous vegetable supports immune strength bone density digestive balance and long term wellness making it one of the most beneficial foods for daily nutrition
Oatmeal,Grain,,,,,Canada,,oatmeal made from whole grain oats provides beta glucan soluble fiber antioxidants b vitamins and minerals such as magnesium and iron supporting cholesterol reduction stable blood sugar digestive comfort and long term cardiovascular health while contributing plant based protein to balanced diets
Almonds,Nut,,,,,California,,almonds are nutrient dense nuts high in vitamin e magnesium fiber antioxidants and plant protein supporting heart health brain function sustained energy and long term nutritional wellness their healthy monounsaturated fats make them excellent for balanced diets and metabolism improvement
Greek Yogurt,Dairy,,,,,Greece,,greek yogurt is a cultured dairy product rich in protein probiotics calcium and b vitamins supporting gut health digestion muscle maintenance and strong bones making it a nutritious option for balanced diets and long term wellness especially due to its high satiety and nutrient density
Sweet Potato,Vegetable,,,,,Peru,,sweet potato is a complex carbohydrate source loaded with beta carotene vitamin c potassium antioxidants and fiber supporting immune strength vision metabolic stability and long term nutritional health through slow energy release and anti inflammatory benefits
corn ,Legume,,,,,Turkey,,corn is a high fiber whole grain legume containing b vitamins antioxidants minerals and plant protein supporting digestive health energy levels and long term heart health while contributing essential nutrients required for balanced diets and regular metabolic function
Avocado,Fruit,,,,,Mexico,,avocado is a nutrient dense fruit containing healthy monounsaturated fats potassium fiber vitamin e folate and antioxidants supporting heart health nutrient absorption digestive function and long term wellness making it a vital part of balanced diets focused on metabolic and cardiovascular stability
oats,Grain,,,,,Andes,,oats provide complete plant protein soluble fiber antioxidants and essential minerals including iron zinc and magnesium supporting long term metabolic health digestion immune function and balanced diets with stable blood sugar and sustained energy
Blueberries,Fruit,,,,,USA,,blueberries are antioxidant rich fruits containing anthocyanins vitamin c vitamin k fiber and phytochemicals that support brain health immune defense heart wellness and long term cellular protection making them one of the most powerful superfoods for healthy diets
Tuna,Protein,,,,,Pacific Ocean,,tuna is a high protein seafood rich in omega 3 fatty acids selenium b vitamins and essential minerals supporting muscle repair heart health cognitive function and long term dietary balance making it ideal for protein rich and nutrient focused diets
Carrots,Vegetable,,,,,Netherlands,,carrots contain high levels of beta carotene vitamin a vitamin c fiber and antioxidants supporting vision immune strength digestive balance and long term nutritional wellness through their role in cellular health and natural disease protection
Whole Wheat Bread,Grain,,,,,Germany,,whole wheat bread is a whole grain product rich in fiber b vitamins complex carbohydrates and essential minerals contributing to digestive health metabolic stability heart wellness and long term nutritional benefits for daily balanced diets
Walnuts,Nut,,,,,China,,walnuts are nutrient dense nuts containing high omega 3 fatty acids antioxidants vitamin e magnesium and plant protein supporting brain health heart health anti inflammatory benefits and long term metabolic stability making them essential for nutrient rich diets
Cottage Cheese,Dairy,,,,,Poland,,cottage cheese is a high protein dairy food containing calcium probiotics casein protein and essential minerals supporting muscle development digestion bone strength and long term dietary wellness making it valuable in balanced diet plans
tomato,Vegetable,,,,,France,,tomatoes are rich in lycopene vitamin c potassium antioxidants and phytochemicals supporting heart health skin wellness immune defense and long term cellular protection making them essential in nutrient dense diets
Black Beans,Legume,,,,,Cuba,,black beans are high in plant protein fiber iron folate antioxidants and slow digesting carbohydrates supporting muscle building digestive health heart wellness and long term energy stability making them ideal for balanced diets
Orange,Fruit,,,,,Spain,,oranges are rich in vitamin c flavonoids fiber and antioxidants supporting immune strength hydration digestion and long term wellness through powerful nutritional benefits and disease prevention properties
Shrimp,Protein,,,,,Thailand,,shrimp is a nutrient dense high protein seafood containing selenium iodine b vitamins antioxidants and amino acids supporting muscle building metabolism and long term nutritional balance with low calorie density
Kale,Vegetable,,,,,Portugal,,kale is a leafy green superfood rich in vitamin k vitamin c calcium fiber antioxidants and phytochemicals supporting bone strength immune health detoxification and long term nutritional wellness making it one of the most nutritious foods available
Barley,Grain,,,,,Ethiopia,,barley is a fiber rich whole grain containing beta glucan b vitamins magnesium and antioxidants supporting digestive health cholesterol reduction metabolic balance and long term cardiovascular wellness
Pistachios,Nut,,,,,Iran,,pistachios are protein and fiber rich nuts containing antioxidants potassium and healthy fats supporting heart health metabolism digestive stability and long term nutritional improvement with strong micronutrient density
Kefir milk ,Dairy,,,,,Caucasus,,kefir is a probiotic fermented dairy drink containing beneficial bacteria protein calcium and vitamins supporting gut health immune function digestion and long term nutritional balance through regular microbiome enhancement
Bell Pepper,Vegetable,,,,,Hungary,,bell peppers especially red ones are packed with vitamin c antioxidants carotenoids fiber and essential nutrients supporting immune strength skin health metabolic function and long term wellness
Chickpeas,Legume,,,,,Middle East,,chickpeas are nutrient dense legumes rich in plant protein fiber iron folate antioxidants and slow digesting carbohydrates supporting muscle growth digestive balance metabolic health and long term sustained energy
Watermelon,Fruit,,,,,Africa,,watermelon is a hydrating fruit rich in water lycopene vitamin c antioxidants citrulline and essential nutrients supporting hydration heart health recovery after exercise and long term cellular protection in balanced diets
Pineapple,Fruit,,,,,Philippines,,Pineapple tropical fruit known for its sweet-tart flavor and high levels of vitamin C and bromelain an enzyme aiding digestion
Salmon,Protein,,,,,Norway,,Salmon fatty cold-water fish loaded with omega-3 fatty acids essential for heart health brain function and reducing inflammation.
Mango,Fruit,,,,,india,,Mango a sweet tropical fruit known for its vibrant flavor rich in vitamins A and C antioxidants and dietary fiber often enjoyed fresh or in smoothies and desserts.
Banana,Fruit,,,,,Southeast Asia,,Banana soft and energy-rich fruit high in potassium vitamin B6 and natural sugars commonly eaten as a quick snack or used in baking and smoothies.
Lemon,Fruit,,,,,India,,Lemon a tangy citrus fruit rich in vitamin C and antioxidants commonly used to boost immunity enhance flavor in dishes and aid digestion.
